bibliotheque,region_administrative,population_desservie,categorie_bibliotheque,modalites_abonnement,visites_total,prets_total,usagers_inscrits_total,activites_total,depenses_fonctionnement_total,visites_par_habitant,prets_par_habitant,usagers_inscrits_par_habitant,depenses_par_habitant,source_csv_url,access_date
Amqui,01: Bas-Saint-Laurent,6129,Publique relevant directement d'une municipalité ,Gratuite,,32871,1625,,197782.38,,5.363191385217817,0.2651329743840757,32.26992657856094,https://www.donneesquebec.ca/recherche/dataset/231a38a8-f28e-4bef-82ea-dc98a14c1b6f/resource/01183d3e-c79c-4d09-915c-f35ffe4dfda8/download/statistiques_bibliotheques_quebec_2024.csv,2026-07-14
CRSBP du Bas-Saint-Laurent,01: Bas-Saint-Laurent,95410,,,5533,110194,37411,1568,1443886.68,0.05799182475631485,1.1549523110785034,0.3921077455193376,15.133494182999685,https://www.donneesquebec.ca/recherche/dataset/231a38a8-f28e-4bef-82ea-dc98a14c1b6f/resource/01183d3e-c79c-4d09-915c-f35ffe4dfda8/download/statistiques_bibliotheques_quebec_2024.csv,2026-07-14
Matane,01: Bas-Saint-Laurent,16954,Publique relevant directement d'une municipalité ,Gratuite,52306,82167,2380,170,809284.31,3.0851716409106995,4.846466910463607,0.14037985136251033,47.73412233101333,https://www.donneesquebec.ca/recherche/dataset/231a38a8-f28e-4bef-82ea-dc98a14c1b6f/resource/01183d3e-c79c-4d09-915c-f35ffe4dfda8/download/statistiques_bibliotheques_quebec_2024.csv,2026-07-14
Mont-Joli,01: Bas-Saint-Laurent,7402,Publique relevant directement d'une municipalité ,Gratuite,19217,48365,1656,99,508236,2.5961902188597676,6.534044852742502,0.22372331802215617,68.66198324777088,https://www.donneesquebec.ca/recherche/dataset/231a38a8-f28e-4bef-82ea-dc98a14c1b6f/resource/01183d3e-c79c-4d09-915c-f35ffe4dfda8/download/statistiques_bibliotheques_quebec_2024.csv,2026-07-14
Rimouski,01: Bas-Saint-Laurent,53038,Publique relevant directement d'une municipalité ,Gratuite,358940,428569,13050,385,2070031.69,6.7676005882574755,8.080414042761793,0.24605000188544063,39.02921848485991,https://www.donneesquebec.ca/recherche/dataset/231a38a8-f28e-4bef-82ea-dc98a14c1b6f/resource/01183d3e-c79c-4d09-915c-f35ffe4dfda8/download/statistiques_bibliotheques_quebec_2024.csv,2026-07-14
Rivière-du-Loup,01: Bas-Saint-Laurent,20472,Publique relevant directement d'une municipalité ,Gratuite,112570,159184,8197,924,971743.8,5.498729972645565,7.775693630324345,0.40040054708870654,47.46696951934349,https://www.donneesquebec.ca/recherche/dataset/231a38a8-f28e-4bef-82ea-dc98a14c1b6f/resource/01183d3e-c79c-4d09-915c-f35ffe4dfda8/download/statistiques_bibliotheques_quebec_2024.csv,2026-07-14
Alma,02: Saguenay-Lac-Saint-Jean,30649,Publique relevant directement d'une municipalité ,Gratuite,55024,153411,9732,450,1166488.45,1.7952951156644588,5.0054161636595,0.317530751411139,38.05959248262586,https://www.donneesquebec.ca/recherche/dataset/231a38a8-f28e-4bef-82ea-dc98a14c1b6f/resource/01183d3e-c79c-4d09-915c-f35ffe4dfda8/download/statistiques_bibliotheques_quebec_2024.csv,2026-07-14
CRSBP du Saguenay-Lac-Saint-Jean,02: Saguenay-Lac-Saint-Jean,62729,,,43262,104907,10675,900,1155227,0.6896650671938019,1.672384383618422,0.17017647340145706,18.41615520732038,https://www.donneesquebec.ca/recherche/dataset/231a38a8-f28e-4bef-82ea-dc98a14c1b6f/resource/01183d3e-c79c-4d09-915c-f35ffe4dfda8/download/statistiques_bibliotheques_quebec_2024.csv,2026-07-14
Dolbeau-Mistassini,02: Saguenay-Lac-Saint-Jean,13717,Publique relevant directement d'une municipalité ,Gratuite,21752,76923,2245,25,538498.29,1.585769483123132,5.607858861267041,0.16366552453160313,39.25773055332799,https://www.donneesquebec.ca/recherche/dataset/231a38a8-f28e-4bef-82ea-dc98a14c1b6f/resource/01183d3e-c79c-4d09-915c-f35ffe4dfda8/download/statistiques_bibliotheques_quebec_2024.csv,2026-07-14
Roberval,02: Saguenay-Lac-Saint-Jean,9887,Publique relevant directement d'une municipalité ,Gratuite,12548,36480,943,90,599001.4,1.2691412966521696,3.6896935369677353,0.09537776878729645,60.58474764842723,https://www.donneesquebec.ca/recherche/dataset/231a38a8-f28e-4bef-82ea-dc98a14c1b6f/resource/01183d3e-c79c-4d09-915c-f35ffe4dfda8/download/statistiques_bibliotheques_quebec_2024.csv,2026-07-14
