identifiant_requete,date_creation,mois_creation,jour_semaine,plage_horaire,activite,type_lieu,arrondissement,provenance,dernier_statut,date_dernier_statut,delai_dernier_statut_jours,issue_7_jours,source_page_url,access_date
24-103,2024-01-01,Janvier,Lundi,"Soir, 18 h à 23 h 59",Feux de circulation - Entretien,Intersection,Mercier-Hochelaga-Maisonneuve,Téléphone,Terminée,2024-01-01,0.036,terminee_7_jours,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,2026-07-14
24-35,2024-01-01,Janvier,Lundi,"Matin, 6 h à 11 h 59",Collecte des matières organiques,Adresse,L'Île-Bizard-Sainte-Geneviève,Téléphone,Terminée,2024-01-18,17.053,non_terminee_7_jours,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,2026-07-14
24-57,2024-01-01,Janvier,Lundi,"Après-midi, 12 h à 17 h 59",Dépôt illégal - Déchets,Adresse,Le Plateau-Mont-Royal,Téléphone,Terminée,2024-01-03,1.833,terminee_7_jours,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,2026-07-14
24-71,2024-01-01,Janvier,Lundi,"Après-midi, 12 h à 17 h 59",*Z-Trou d'homme,Intersection,LaSalle,Téléphone,Terminée,2024-01-01,0.018,terminee_7_jours,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,2026-07-14
24-72,2024-01-01,Janvier,Lundi,"Après-midi, 12 h à 17 h 59",Animal mort,Adresse,Verdun,Téléphone,Terminée,2024-01-04,2.754,terminee_7_jours,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,2026-07-14
24-74,2024-01-01,Janvier,Lundi,"Après-midi, 12 h à 17 h 59",*Z-Trou d'homme,Intersection,Côte-des-Neiges-Notre-Dame-de-Grâce,Téléphone,Terminée,2024-01-04,2.689,terminee_7_jours,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,2026-07-14
24-136,2024-01-02,Janvier,Mardi,"Matin, 6 h à 11 h 59",Nid-de-poule,Adresse,Ville-Marie,Téléphone,Terminée,2024-01-03,0.866,terminee_7_jours,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,2026-07-14
24-173,2024-01-02,Janvier,Mardi,"Matin, 6 h à 11 h 59",Collecte de déchets,Adresse,Côte-des-Neiges-Notre-Dame-de-Grâce,Téléphone,Terminée,2024-01-08,6.089,terminee_7_jours,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,2026-07-14
24-175,2024-01-02,Janvier,Mardi,"Matin, 6 h à 11 h 59",Dépôt illégal - Déchets,Adresse,Mercier-Hochelaga-Maisonneuve,Internet,Terminée,2024-01-05,3.004,terminee_7_jours,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,2026-07-14
24-224,2024-01-02,Janvier,Mardi,"Matin, 6 h à 11 h 59",Encombrants non ramassés,Adresse,Rosemont-La Petite-Patrie,Téléphone,Terminée,2024-01-04,2.076,terminee_7_jours,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,2026-07-14
